,WFC,WFC,WFC,WFC,WFC,WFC,TD,TD,TD,TD,TD,TD,COF,COF,COF,COF,COF,COF,C,C,C,C,C,C,GS,GS,GS,GS,GS,GS,BAC,BAC,BAC,BAC,BAC,BAC,USB,USB,USB,USB,USB,USB,TFC,TFC,TFC,TFC,TFC,TFC,PNC,PNC,PNC,PNC,PNC,PNC,JPM,JPM,JPM,JPM,JPM,JPM
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-05,54.14,54.36,53.1,53.2,43.04,15000500,46.64,46.75,45.43,45.87,34.25,1698800,81.57,82.16,80.2,80.59,69.92,2678200,53.91,53.96,52.33,52.55,45.05,20945400,193.06,194.04,187.48,188.34,166.67,3413200,17.79,17.81,17.29,17.38,15.19,105605500,44.55,44.77,43.69,43.75,35.75,6568700,38.46,38.48,37.35,37.43,29.66,4886500,90.21,90.63,88.02,88.04,72.35,3411700,62.06,62.28,60.23,60.55,49.7,20100600
2015-01-06,53.35,53.47,51.85,52.09,42.14,20211200,45.53,45.64,44.33,44.91,33.54,1952600,80.73,80.77,78.86,79.09,68.62,2929500,52.68,52.77,50.53,50.7,43.46,31989300,188.3,188.66,183.93,184.53,163.3,3429200,17.42,17.44,16.78,16.86,14.74,144912400,43.9,44.0,42.88,43.17,35.28,8523700,37.49,37.67,36.51,36.7,29.08,5305300,88.35,89.32,85.38,85.76,70.47,4422100,60.64,60.75,58.35,58.98,48.41,29074100
2015-01-07,52.63,52.64,52.11,52.4,42.4,15714700,45.06,45.54,44.44,44.76,33.42,1606000,80.16,80.46,79.71,79.99,69.4,2434100,51.51,51.55,50.62,51.17,43.87,27890800,186.85,187.99,185.77,187.28,165.73,1896800,17.14,17.18,16.87,16.94,14.81,104603800,43.6,43.69,43.14,43.55,35.59,5073700,37.28,37.32,36.72,37.19,29.47,4953200,86.81,87.27,86.09,86.75,71.29,2249200,59.89,59.89,58.67,59.07,48.48,23843200
2015-01-08,53.0,53.59,52.96,53.56,43.33,16721600,44.97,45.22,44.71,44.99,33.6,1102300,80.71,81.39,80.58,80.77,70.08,2008200,51.77,52.08,51.5,51.94,44.53,17467200,189.35,190.82,189.25,190.27,168.38,1962500,17.16,17.34,17.1,17.29,15.11,73388500,43.97,44.16,43.78,43.87,35.85,10417600,37.52,37.91,37.45,37.81,29.96,5412800,87.49,88.59,87.45,88.42,72.66,2116700,59.97,60.9,59.97,60.39,49.56,16971100
2015-01-09,53.54,53.59,52.67,52.68,42.62,14550800,44.89,44.89,44.1,44.3,33.08,1590200,80.9,81.03,79.36,79.37,68.86,2744900,52.17,52.24,50.77,50.78,43.53,20180200,190.48,191.31,186.96,187.35,165.8,1980700,17.38,17.38,16.95,16.98,14.84,84144600,43.88,44.03,42.82,42.96,35.1,8095700,37.82,37.92,36.76,36.83,29.19,3520400,88.43,88.46,86.61,86.77,71.3,2351600,60.72,60.79,59.29,59.34,48.7,15396200
2015-01-12,52.58,52.69,51.71,52.05,42.11,16967500,43.88,44.02,43.21,43.49,32.48,1919800,79.79,80.0,78.65,79.06,68.59,2381200,50.82,50.91,50.03,50.38,43.19,22725800,187.36,187.53,184.11,185.07,163.78,2084200,17.02,17.03,16.66,16.68,14.58,92762500,42.98,43.13,42.44,42.56,34.78,4857700,36.89,36.93,36.3,36.49,28.92,2943800,86.68,86.96,85.85,86.16,70.8,2544000,59.28,59.4,58.27,58.83,48.28,15455200
2015-01-13,52.3,52.53,51.25,51.85,41.95,25080900,43.54,44.25,42.8,43.41,32.42,2346200,79.75,80.04,77.63,78.39,68.01,3944700,50.66,51.23,49.61,50.02,42.88,23201800,186.58,189.38,183.37,184.93,163.66,2745300,16.82,16.89,16.32,16.45,14.38,100845400,42.8,43.02,41.77,42.1,34.4,7298100,36.81,37.21,36.19,36.43,28.87,3788300,86.15,87.01,84.14,84.52,69.84,3591400,59.26,59.7,58.37,58.84,48.29,21644700
2015-01-14,51.0,51.73,50.42,51.25,41.46,37590100,42.77,42.8,41.89,42.34,31.62,3254000,77.44,77.44,75.51,76.75,66.59,4149400,48.96,49.1,47.77,49.05,42.05,44630800,181.18,182.51,178.1,180.23,159.5,5204700,16.0,16.22,15.77,16.04,14.02,164779800,41.51,41.7,40.77,41.34,33.78,12845300,35.85,36.05,34.95,35.66,28.26,6897600,83.17,83.98,81.84,83.0,68.59,6015400,58.84,58.84,55.27,56.81,46.63,49602300
